sample_id,label_id,label_name,regime_key,case_name,events_csv_path,n_events_written,n_candidates,k,tau_rel,tau_abs,p,kmin,kmax,residual_csv_path,group_id,season,train_size,split,split_seed,split_strategy,split_version
59,3,ip_3track_1_arc_678,G3_W_H,ip_3track_1_arc_678,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G3_W_H\ip_3track_1_arc_678\events_topk.csv,1961,65383,1961,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G3_W_H\ip_3track_1_arc_678\stress_residual.csv,3,W,H,train,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
60,3,ip_3track_1_arc_678,G3_W_L,ip_3track_1_arc_678,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G3_W_L\ip_3track_1_arc_678\events_topk.csv,2170,72343,2170,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G3_W_L\ip_3track_1_arc_678\stress_residual.csv,3,W,L,train,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
61,3,ip_3track_1_arc_678,G4_S_H,ip_3track_1_arc_678,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G4_S_H\ip_3track_1_arc_678\events_topk.csv,1475,49157,1475,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G4_S_H\ip_3track_1_arc_678\stress_residual.csv,4,S,H,test,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
62,3,ip_3track_1_arc_678,G4_S_L,ip_3track_1_arc_678,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G4_S_L\ip_3track_1_arc_678\events_topk.csv,1577,52583,1577,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G4_S_L\ip_3track_1_arc_678\stress_residual.csv,4,S,L,train,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
63,3,ip_3track_1_arc_678,G4_W_H,ip_3track_1_arc_678,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G4_W_H\ip_3track_1_arc_678\events_topk.csv,1417,47239,1417,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G4_W_H\ip_3track_1_arc_678\stress_residual.csv,4,W,H,train,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
64,3,ip_3track_1_arc_678,G4_W_L,ip_3track_1_arc_678,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G4_W_L\ip_3track_1_arc_678\events_topk.csv,1504,50129,1504,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G4_W_L\ip_3track_1_arc_678\stress_residual.csv,4,W,L,train,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
65,4,ip_first_track_3arc_78910,G1_S_H,ip_first_track_3arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G1_S_H\ip_first_track_3arc_78910\events_topk.csv,2382,79391,2382,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G1_S_H\ip_first_track_3arc_78910\stress_residual.csv,1,S,H,train,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
66,4,ip_first_track_3arc_78910,G1_S_L,ip_first_track_3arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G1_S_L\ip_first_track_3arc_78910\events_topk.csv,2563,85433,2563,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G1_S_L\ip_first_track_3arc_78910\stress_residual.csv,1,S,L,test,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
67,4,ip_first_track_3arc_78910,G1_W_H,ip_first_track_3arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G1_W_H\ip_first_track_3arc_78910\events_topk.csv,2293,76447,2293,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G1_W_H\ip_first_track_3arc_78910\stress_residual.csv,1,W,H,train,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
68,4,ip_first_track_3arc_78910,G1_W_L,ip_first_track_3arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G1_W_L\ip_first_track_3arc_78910\events_topk.csv,2463,82104,2463,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G1_W_L\ip_first_track_3arc_78910\stress_residual.csv,1,W,L,train,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
69,4,ip_first_track_3arc_78910,G2_S_H,ip_first_track_3arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G2_S_H\ip_first_track_3arc_78910\events_topk.csv,2428,80940,2428,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G2_S_H\ip_first_track_3arc_78910\stress_residual.csv,2,S,H,train,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
70,4,ip_first_track_3arc_78910,G2_S_L,ip_first_track_3arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G2_S_L\ip_first_track_3arc_78910\events_topk.csv,2615,87180,2615,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G2_S_L\ip_first_track_3arc_78910\stress_residual.csv,2,S,L,train,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
71,4,ip_first_track_3arc_78910,G2_W_H,ip_first_track_3arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G2_W_H\ip_first_track_3arc_78910\events_topk.csv,2358,78603,2358,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G2_W_H\ip_first_track_3arc_78910\stress_residual.csv,2,W,H,val,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
72,4,ip_first_track_3arc_78910,G2_W_L,ip_first_track_3arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G2_W_L\ip_first_track_3arc_78910\events_topk.csv,2484,82811,2484,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G2_W_L\ip_first_track_3arc_78910\stress_residual.csv,2,W,L,train,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
73,4,ip_first_track_3arc_78910,G3_S_H,ip_first_track_3arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G3_S_H\ip_first_track_3arc_78910\events_topk.csv,1599,53291,1599,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G3_S_H\ip_first_track_3arc_78910\stress_residual.csv,3,S,H,test,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
74,4,ip_first_track_3arc_78910,G3_S_L,ip_first_track_3arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G3_S_L\ip_first_track_3arc_78910\events_topk.csv,2563,85419,2563,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G3_S_L\ip_first_track_3arc_78910\stress_residual.csv,3,S,L,train,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
75,4,ip_first_track_3arc_78910,G3_W_H,ip_first_track_3arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G3_W_H\ip_first_track_3arc_78910\events_topk.csv,2225,74182,2225,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G3_W_H\ip_first_track_3arc_78910\stress_residual.csv,3,W,H,train,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
76,4,ip_first_track_3arc_78910,G3_W_L,ip_first_track_3arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G3_W_L\ip_first_track_3arc_78910\events_topk.csv,2466,82206,2466,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G3_W_L\ip_first_track_3arc_78910\stress_residual.csv,3,W,L,train,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
77,4,ip_first_track_3arc_78910,G4_S_H,ip_first_track_3arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G4_S_H\ip_first_track_3arc_78910\events_topk.csv,6399,213301,6399,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G4_S_H\ip_first_track_3arc_78910\stress_residual.csv,4,S,H,train,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
78,4,ip_first_track_3arc_78910,G4_S_L,ip_first_track_3arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G4_S_L\ip_first_track_3arc_78910\events_topk.csv,6243,208105,6243,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G4_S_L\ip_first_track_3arc_78910\stress_residual.csv,4,S,L,train,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
79,4,ip_first_track_3arc_78910,G4_W_H,ip_first_track_3arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G4_W_H\ip_first_track_3arc_78910\events_topk.csv,6500,216658,6500,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G4_W_H\ip_first_track_3arc_78910\stress_residual.csv,4,W,H,val,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
80,4,ip_first_track_3arc_78910,G4_W_L,ip_first_track_3arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G4_W_L\ip_first_track_3arc_78910\events_topk.csv,6413,213779,6413,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G4_W_L\ip_first_track_3arc_78910\stress_residual.csv,4,W,L,train,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
81,5,ip_frst_Arc_defect_all_tracks_111,G1_S_H,ip_frst_Arc_defect_all_tracks_111,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G1_S_H\ip_frst_Arc_defect_all_tracks_111\events_topk.csv,1580,52663,1580,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G1_S_H\ip_frst_Arc_defect_all_tracks_111\stress_residual.csv,1,S,H,train,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
82,5,ip_frst_Arc_defect_all_tracks_111,G1_S_L,ip_frst_Arc_defect_all_tracks_111,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G1_S_L\ip_frst_Arc_defect_all_tracks_111\events_topk.csv,1234,41141,1234,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G1_S_L\ip_frst_Arc_defect_all_tracks_111\stress_residual.csv,1,S,L,test,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
83,5,ip_frst_Arc_defect_all_tracks_111,G1_W_H,ip_frst_Arc_defect_all_tracks_111,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G1_W_H\ip_frst_Arc_defect_all_tracks_111\events_topk.csv,1516,50531,1516,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G1_W_H\ip_frst_Arc_defect_all_tracks_111\stress_residual.csv,1,W,H,train,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
84,5,ip_frst_Arc_defect_all_tracks_111,G1_W_L,ip_frst_Arc_defect_all_tracks_111,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G1_W_L\ip_frst_Arc_defect_all_tracks_111\events_topk.csv,1465,48820,1465,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G1_W_L\ip_frst_Arc_defect_all_tracks_111\stress_residual.csv,1,W,L,test,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
85,5,ip_frst_Arc_defect_all_tracks_111,G2_S_H,ip_frst_Arc_defect_all_tracks_111,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G2_S_H\ip_frst_Arc_defect_all_tracks_111\events_topk.csv,1057,35231,1057,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G2_S_H\ip_frst_Arc_defect_all_tracks_111\stress_residual.csv,2,S,H,train,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
86,5,ip_frst_Arc_defect_all_tracks_111,G2_S_L,ip_frst_Arc_defect_all_tracks_111,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G2_S_L\ip_frst_Arc_defect_all_tracks_111\events_topk.csv,1009,33632,1009,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G2_S_L\ip_frst_Arc_defect_all_tracks_111\stress_residual.csv,2,S,L,train,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
87,5,ip_frst_Arc_defect_all_tracks_111,G2_W_H,ip_frst_Arc_defect_all_tracks_111,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G2_W_H\ip_frst_Arc_defect_all_tracks_111\events_topk.csv,1217,40574,1217,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G2_W_H\ip_frst_Arc_defect_all_tracks_111\stress_residual.csv,2,W,H,train,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
88,5,ip_frst_Arc_defect_all_tracks_111,G2_W_L,ip_frst_Arc_defect_all_tracks_111,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G2_W_L\ip_frst_Arc_defect_all_tracks_111\events_topk.csv,1217,40577,1217,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G2_W_L\ip_frst_Arc_defect_all_tracks_111\stress_residual.csv,2,W,L,val,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
89,5,ip_frst_Arc_defect_all_tracks_111,G3_S_H,ip_frst_Arc_defect_all_tracks_111,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G3_S_H\ip_frst_Arc_defect_all_tracks_111\events_topk.csv,7059,235308,7059,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G3_S_H\ip_frst_Arc_defect_all_tracks_111\stress_residual.csv,3,S,H,train,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
90,5,ip_frst_Arc_defect_all_tracks_111,G3_S_L,ip_frst_Arc_defect_all_tracks_111,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G3_S_L\ip_frst_Arc_defect_all_tracks_111\events_topk.csv,1239,41291,1239,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G3_S_L\ip_frst_Arc_defect_all_tracks_111\stress_residual.csv,3,S,L,train,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
91,5,ip_frst_Arc_defect_all_tracks_111,G3_W_H,ip_frst_Arc_defect_all_tracks_111,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G3_W_H\ip_frst_Arc_defect_all_tracks_111\events_topk.csv,1472,49065,1472,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G3_W_H\ip_frst_Arc_defect_all_tracks_111\stress_residual.csv,3,W,H,train,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
92,5,ip_frst_Arc_defect_all_tracks_111,G3_W_L,ip_frst_Arc_defect_all_tracks_111,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G3_W_L\ip_frst_Arc_defect_all_tracks_111\events_topk.csv,1489,49644,1489,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G3_W_L\ip_frst_Arc_defect_all_tracks_111\stress_residual.csv,3,W,L,train,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
93,5,ip_frst_Arc_defect_all_tracks_111,G4_S_H,ip_frst_Arc_defect_all_tracks_111,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G4_S_H\ip_frst_Arc_defect_all_tracks_111\events_topk.csv,1000,30880,1000,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G4_S_H\ip_frst_Arc_defect_all_tracks_111\stress_residual.csv,4,S,H,val,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
94,5,ip_frst_Arc_defect_all_tracks_111,G4_S_L,ip_frst_Arc_defect_all_tracks_111,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G4_S_L\ip_frst_Arc_defect_all_tracks_111\events_topk.csv,1000,31465,1000,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G4_S_L\ip_frst_Arc_defect_all_tracks_111\stress_residual.csv,4,S,L,train,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
95,5,ip_frst_Arc_defect_all_tracks_111,G4_W_H,ip_frst_Arc_defect_all_tracks_111,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G4_W_H\ip_frst_Arc_defect_all_tracks_111\events_topk.csv,1093,36440,1093,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G4_W_H\ip_frst_Arc_defect_all_tracks_111\stress_residual.csv,4,W,H,train,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
96,5,ip_frst_Arc_defect_all_tracks_111,G4_W_L,ip_frst_Arc_defect_all_tracks_111,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G4_W_L\ip_frst_Arc_defect_all_tracks_111\events_topk.csv,1031,34359,1031,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G4_W_L\ip_frst_Arc_defect_all_tracks_111\stress_residual.csv,4,W,L,train,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
