sample_id,label_id,label_name,regime_key,case_name,events_csv_path,n_events_written,n_candidates,k,tau_rel,tau_abs,p,kmin,kmax,residual_csv_path
71,4,ip_first_track_3arc_78910,G2_W_H,ip_first_track_3arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G2_W_H\ip_first_track_3arc_78910\events_topk.csv,2358,78603,2358,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G2_W_H\ip_first_track_3arc_78910\stress_residual.csv
72,4,ip_first_track_3arc_78910,G2_W_L,ip_first_track_3arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G2_W_L\ip_first_track_3arc_78910\events_topk.csv,2484,82811,2484,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G2_W_L\ip_first_track_3arc_78910\stress_residual.csv
73,4,ip_first_track_3arc_78910,G3_S_H,ip_first_track_3arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G3_S_H\ip_first_track_3arc_78910\events_topk.csv,1599,53291,1599,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G3_S_H\ip_first_track_3arc_78910\stress_residual.csv
74,4,ip_first_track_3arc_78910,G3_S_L,ip_first_track_3arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G3_S_L\ip_first_track_3arc_78910\events_topk.csv,2563,85419,2563,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G3_S_L\ip_first_track_3arc_78910\stress_residual.csv
75,4,ip_first_track_3arc_78910,G3_W_H,ip_first_track_3arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G3_W_H\ip_first_track_3arc_78910\events_topk.csv,2225,74182,2225,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G3_W_H\ip_first_track_3arc_78910\stress_residual.csv
76,4,ip_first_track_3arc_78910,G3_W_L,ip_first_track_3arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G3_W_L\ip_first_track_3arc_78910\events_topk.csv,2466,82206,2466,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G3_W_L\ip_first_track_3arc_78910\stress_residual.csv
77,4,ip_first_track_3arc_78910,G4_S_H,ip_first_track_3arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G4_S_H\ip_first_track_3arc_78910\events_topk.csv,6399,213301,6399,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G4_S_H\ip_first_track_3arc_78910\stress_residual.csv
78,4,ip_first_track_3arc_78910,G4_S_L,ip_first_track_3arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G4_S_L\ip_first_track_3arc_78910\events_topk.csv,6243,208105,6243,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G4_S_L\ip_first_track_3arc_78910\stress_residual.csv
79,4,ip_first_track_3arc_78910,G4_W_H,ip_first_track_3arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G4_W_H\ip_first_track_3arc_78910\events_topk.csv,6500,216658,6500,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G4_W_H\ip_first_track_3arc_78910\stress_residual.csv
80,4,ip_first_track_3arc_78910,G4_W_L,ip_first_track_3arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G4_W_L\ip_first_track_3arc_78910\events_topk.csv,6413,213779,6413,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G4_W_L\ip_first_track_3arc_78910\stress_residual.csv
81,5,ip_frst_Arc_defect_all_tracks_111,G1_S_H,ip_frst_Arc_defect_all_tracks_111,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G1_S_H\ip_frst_Arc_defect_all_tracks_111\events_topk.csv,1580,52663,1580,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G1_S_H\ip_frst_Arc_defect_all_tracks_111\stress_residual.csv
82,5,ip_frst_Arc_defect_all_tracks_111,G1_S_L,ip_frst_Arc_defect_all_tracks_111,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G1_S_L\ip_frst_Arc_defect_all_tracks_111\events_topk.csv,1234,41141,1234,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G1_S_L\ip_frst_Arc_defect_all_tracks_111\stress_residual.csv
83,5,ip_frst_Arc_defect_all_tracks_111,G1_W_H,ip_frst_Arc_defect_all_tracks_111,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G1_W_H\ip_frst_Arc_defect_all_tracks_111\events_topk.csv,1516,50531,1516,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G1_W_H\ip_frst_Arc_defect_all_tracks_111\stress_residual.csv
84,5,ip_frst_Arc_defect_all_tracks_111,G1_W_L,ip_frst_Arc_defect_all_tracks_111,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G1_W_L\ip_frst_Arc_defect_all_tracks_111\events_topk.csv,1465,48820,1465,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G1_W_L\ip_frst_Arc_defect_all_tracks_111\stress_residual.csv
85,5,ip_frst_Arc_defect_all_tracks_111,G2_S_H,ip_frst_Arc_defect_all_tracks_111,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G2_S_H\ip_frst_Arc_defect_all_tracks_111\events_topk.csv,1057,35231,1057,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G2_S_H\ip_frst_Arc_defect_all_tracks_111\stress_residual.csv
86,5,ip_frst_Arc_defect_all_tracks_111,G2_S_L,ip_frst_Arc_defect_all_tracks_111,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G2_S_L\ip_frst_Arc_defect_all_tracks_111\events_topk.csv,1009,33632,1009,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G2_S_L\ip_frst_Arc_defect_all_tracks_111\stress_residual.csv
87,5,ip_frst_Arc_defect_all_tracks_111,G2_W_H,ip_frst_Arc_defect_all_tracks_111,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G2_W_H\ip_frst_Arc_defect_all_tracks_111\events_topk.csv,1217,40574,1217,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G2_W_H\ip_frst_Arc_defect_all_tracks_111\stress_residual.csv
88,5,ip_frst_Arc_defect_all_tracks_111,G2_W_L,ip_frst_Arc_defect_all_tracks_111,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G2_W_L\ip_frst_Arc_defect_all_tracks_111\events_topk.csv,1217,40577,1217,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G2_W_L\ip_frst_Arc_defect_all_tracks_111\stress_residual.csv
89,5,ip_frst_Arc_defect_all_tracks_111,G3_S_H,ip_frst_Arc_defect_all_tracks_111,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G3_S_H\ip_frst_Arc_defect_all_tracks_111\events_topk.csv,7059,235308,7059,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G3_S_H\ip_frst_Arc_defect_all_tracks_111\stress_residual.csv
90,5,ip_frst_Arc_defect_all_tracks_111,G3_S_L,ip_frst_Arc_defect_all_tracks_111,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G3_S_L\ip_frst_Arc_defect_all_tracks_111\events_topk.csv,1239,41291,1239,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G3_S_L\ip_frst_Arc_defect_all_tracks_111\stress_residual.csv
91,5,ip_frst_Arc_defect_all_tracks_111,G3_W_H,ip_frst_Arc_defect_all_tracks_111,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G3_W_H\ip_frst_Arc_defect_all_tracks_111\events_topk.csv,1472,49065,1472,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G3_W_H\ip_frst_Arc_defect_all_tracks_111\stress_residual.csv
92,5,ip_frst_Arc_defect_all_tracks_111,G3_W_L,ip_frst_Arc_defect_all_tracks_111,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G3_W_L\ip_frst_Arc_defect_all_tracks_111\events_topk.csv,1489,49644,1489,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G3_W_L\ip_frst_Arc_defect_all_tracks_111\stress_residual.csv
93,5,ip_frst_Arc_defect_all_tracks_111,G4_S_H,ip_frst_Arc_defect_all_tracks_111,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G4_S_H\ip_frst_Arc_defect_all_tracks_111\events_topk.csv,1000,30880,1000,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G4_S_H\ip_frst_Arc_defect_all_tracks_111\stress_residual.csv
94,5,ip_frst_Arc_defect_all_tracks_111,G4_S_L,ip_frst_Arc_defect_all_tracks_111,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G4_S_L\ip_frst_Arc_defect_all_tracks_111\events_topk.csv,1000,31465,1000,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G4_S_L\ip_frst_Arc_defect_all_tracks_111\stress_residual.csv
95,5,ip_frst_Arc_defect_all_tracks_111,G4_W_H,ip_frst_Arc_defect_all_tracks_111,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G4_W_H\ip_frst_Arc_defect_all_tracks_111\events_topk.csv,1093,36440,1093,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G4_W_H\ip_frst_Arc_defect_all_tracks_111\stress_residual.csv
96,5,ip_frst_Arc_defect_all_tracks_111,G4_W_L,ip_frst_Arc_defect_all_tracks_111,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G4_W_L\ip_frst_Arc_defect_all_tracks_111\events_topk.csv,1031,34359,1031,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G4_W_L\ip_frst_Arc_defect_all_tracks_111\stress_residual.csv
