sample_id,label_id,label_name,regime_key,case_name,events_csv_path,n_events_written,n_candidates,k,tau_rel,tau_abs,p,kmin,kmax,residual_csv_path
61,4,ip_first_track_3arc_78910,G1_S_H,ip_first_track_3arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G1_S_H\ip_first_track_3arc_78910\events_topk.csv,2376,79214,2376,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G1_S_H\ip_first_track_3arc_78910\stress_residual.csv
62,4,ip_first_track_3arc_78910,G1_S_L,ip_first_track_3arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G1_S_L\ip_first_track_3arc_78910\events_topk.csv,2563,85425,2563,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G1_S_L\ip_first_track_3arc_78910\stress_residual.csv
63,4,ip_first_track_3arc_78910,G1_W_H,ip_first_track_3arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G1_W_H\ip_first_track_3arc_78910\events_topk.csv,2291,76360,2291,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G1_W_H\ip_first_track_3arc_78910\stress_residual.csv
64,4,ip_first_track_3arc_78910,G1_W_L,ip_first_track_3arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G1_W_L\ip_first_track_3arc_78910\events_topk.csv,2453,81780,2453,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G1_W_L\ip_first_track_3arc_78910\stress_residual.csv
65,4,ip_first_track_3arc_78910,G2_S_H,ip_first_track_3arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G2_S_H\ip_first_track_3arc_78910\events_topk.csv,2419,80624,2419,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G2_S_H\ip_first_track_3arc_78910\stress_residual.csv
66,4,ip_first_track_3arc_78910,G2_S_L,ip_first_track_3arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G2_S_L\ip_first_track_3arc_78910\events_topk.csv,2612,87072,2612,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G2_S_L\ip_first_track_3arc_78910\stress_residual.csv
67,4,ip_first_track_3arc_78910,G2_W_H,ip_first_track_3arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G2_W_H\ip_first_track_3arc_78910\events_topk.csv,2358,78602,2358,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G2_W_H\ip_first_track_3arc_78910\stress_residual.csv
68,4,ip_first_track_3arc_78910,G2_W_L,ip_first_track_3arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G2_W_L\ip_first_track_3arc_78910\events_topk.csv,2475,82485,2475,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G2_W_L\ip_first_track_3arc_78910\stress_residual.csv
69,4,ip_first_track_3arc_78910,G3_S_H,ip_first_track_3arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G3_S_H\ip_first_track_3arc_78910\events_topk.csv,1588,52923,1588,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G3_S_H\ip_first_track_3arc_78910\stress_residual.csv
70,4,ip_first_track_3arc_78910,G3_S_L,ip_first_track_3arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G3_S_L\ip_first_track_3arc_78910\events_topk.csv,2552,85056,2552,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G3_S_L\ip_first_track_3arc_78910\stress_residual.csv
71,4,ip_first_track_3arc_78910,G3_W_H,ip_first_track_3arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G3_W_H\ip_first_track_3arc_78910\events_topk.csv,2218,73931,2218,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G3_W_H\ip_first_track_3arc_78910\stress_residual.csv
72,4,ip_first_track_3arc_78910,G3_W_L,ip_first_track_3arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G3_W_L\ip_first_track_3arc_78910\events_topk.csv,2463,82093,2463,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G3_W_L\ip_first_track_3arc_78910\stress_residual.csv
73,5,ip_frst_Arc_defect_all_tracks_111,G1_S_H,ip_frst_Arc_defect_all_tracks_111,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G1_S_H\ip_frst_Arc_defect_all_tracks_111\events_topk.csv,1577,52566,1577,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G1_S_H\ip_frst_Arc_defect_all_tracks_111\stress_residual.csv
74,5,ip_frst_Arc_defect_all_tracks_111,G1_S_L,ip_frst_Arc_defect_all_tracks_111,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G1_S_L\ip_frst_Arc_defect_all_tracks_111\events_topk.csv,1234,41136,1234,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G1_S_L\ip_frst_Arc_defect_all_tracks_111\stress_residual.csv
75,5,ip_frst_Arc_defect_all_tracks_111,G1_W_H,ip_frst_Arc_defect_all_tracks_111,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G1_W_H\ip_frst_Arc_defect_all_tracks_111\events_topk.csv,1514,50464,1514,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G1_W_H\ip_frst_Arc_defect_all_tracks_111\stress_residual.csv
76,5,ip_frst_Arc_defect_all_tracks_111,G1_W_L,ip_frst_Arc_defect_all_tracks_111,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G1_W_L\ip_frst_Arc_defect_all_tracks_111\events_topk.csv,1457,48578,1457,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G1_W_L\ip_frst_Arc_defect_all_tracks_111\stress_residual.csv
77,5,ip_frst_Arc_defect_all_tracks_111,G2_S_H,ip_frst_Arc_defect_all_tracks_111,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G2_S_H\ip_frst_Arc_defect_all_tracks_111\events_topk.csv,1049,34974,1049,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G2_S_H\ip_frst_Arc_defect_all_tracks_111\stress_residual.csv
78,5,ip_frst_Arc_defect_all_tracks_111,G2_S_L,ip_frst_Arc_defect_all_tracks_111,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G2_S_L\ip_frst_Arc_defect_all_tracks_111\events_topk.csv,1006,33544,1006,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G2_S_L\ip_frst_Arc_defect_all_tracks_111\stress_residual.csv
79,5,ip_frst_Arc_defect_all_tracks_111,G2_W_H,ip_frst_Arc_defect_all_tracks_111,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G2_W_H\ip_frst_Arc_defect_all_tracks_111\events_topk.csv,1217,40574,1217,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G2_W_H\ip_frst_Arc_defect_all_tracks_111\stress_residual.csv
80,5,ip_frst_Arc_defect_all_tracks_111,G2_W_L,ip_frst_Arc_defect_all_tracks_111,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G2_W_L\ip_frst_Arc_defect_all_tracks_111\events_topk.csv,1210,40327,1210,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G2_W_L\ip_frst_Arc_defect_all_tracks_111\stress_residual.csv
81,5,ip_frst_Arc_defect_all_tracks_111,G3_S_H,ip_frst_Arc_defect_all_tracks_111,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G3_S_H\ip_frst_Arc_defect_all_tracks_111\events_topk.csv,7059,235288,7059,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G3_S_H\ip_frst_Arc_defect_all_tracks_111\stress_residual.csv
82,5,ip_frst_Arc_defect_all_tracks_111,G3_S_L,ip_frst_Arc_defect_all_tracks_111,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G3_S_L\ip_frst_Arc_defect_all_tracks_111\events_topk.csv,1231,41036,1231,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G3_S_L\ip_frst_Arc_defect_all_tracks_111\stress_residual.csv
83,5,ip_frst_Arc_defect_all_tracks_111,G3_W_H,ip_frst_Arc_defect_all_tracks_111,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G3_W_H\ip_frst_Arc_defect_all_tracks_111\events_topk.csv,1468,48927,1468,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G3_W_H\ip_frst_Arc_defect_all_tracks_111\stress_residual.csv
84,5,ip_frst_Arc_defect_all_tracks_111,G3_W_L,ip_frst_Arc_defect_all_tracks_111,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G3_W_L\ip_frst_Arc_defect_all_tracks_111\events_topk.csv,1487,49554,1487,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G3_W_L\ip_frst_Arc_defect_all_tracks_111\stress_residual.csv
85,5,ip_frst_Arc_defect_all_tracks_111,G4_S_H,ip_frst_Arc_defect_all_tracks_111,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G4_S_H\ip_frst_Arc_defect_all_tracks_111\events_topk.csv,1346,44850,1346,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G4_S_H\ip_frst_Arc_defect_all_tracks_111\stress_residual.csv
86,5,ip_frst_Arc_defect_all_tracks_111,G4_S_L,ip_frst_Arc_defect_all_tracks_111,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G4_S_L\ip_frst_Arc_defect_all_tracks_111\events_topk.csv,1293,43097,1293,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G4_S_L\ip_frst_Arc_defect_all_tracks_111\stress_residual.csv
87,5,ip_frst_Arc_defect_all_tracks_111,G4_W_H,ip_frst_Arc_defect_all_tracks_111,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G4_W_H\ip_frst_Arc_defect_all_tracks_111\events_topk.csv,1464,48785,1464,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G4_W_H\ip_frst_Arc_defect_all_tracks_111\stress_residual.csv
88,5,ip_frst_Arc_defect_all_tracks_111,G4_W_L,ip_frst_Arc_defect_all_tracks_111,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G4_W_L\ip_frst_Arc_defect_all_tracks_111\events_topk.csv,1351,45049,1351,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G4_W_L\ip_frst_Arc_defect_all_tracks_111\stress_residual.csv
